IID|path
A010199|Kinh doanh & Các ngành nghề/Quảng cáo/Nhà in ấn, xuất bản địa phương/Khác
A010299|Kinh doanh & Các ngành nghề/Quảng cáo/Quảng cáo online, website/Khác
A019999|Kinh doanh & Các ngành nghề/Quảng cáo/Khác/Khác
A020199|Kinh doanh & Các ngành nghề/Sản xuất tự nhiên/Nông nghiệp/Khác
A020299|Kinh doanh & Các ngành nghề/Sản xuất tự nhiên/Lâm nghiệp/Khác
A020399|Kinh doanh & Các ngành nghề/Sản xuất tự nhiên/Ngư nghiệp & thủy sản/Khác
A029999|Kinh doanh & Các ngành nghề/Sản xuất tự nhiên/Khác/Khác
A039999|Kinh doanh & Các ngành nghề/Ngân hàng/Khác/Khác
A049999|Kinh doanh & Các ngành nghề/Xây dựng/Khác/Khác
A050199|Kinh doanh & Các ngành nghề/Thiết kế/Thiết kế kiến trúc/Khác
A050299|Kinh doanh & Các ngành nghề/Thiết kế/Thiết kế website/Khác
A059999|Kinh doanh & Các ngành nghề/Thiết kế/Khác/Khác
A060101|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Thẩm mỹ
A060102|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Nha khoa
A060103|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Sản phụ khoa/bà mẹ, trẻ em
A060104|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Ung bướu
A060105|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Thú y
A060106|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Đa khoa
A060107|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Nam khoa
A060199|Kinh doanh & Các ngành nghề/Y tế/Bệnh viện & Phòng khám/Khác
A060201|Kinh doanh & Các ngành nghề/Y tế/Nhà thuốc/Nhà thuốc tây
A060202|Kinh doanh & Các ngành nghề/Y tế/Nhà thuốc/Nhà thuốc cổ truyền
A060299|Kinh doanh & Các ngành nghề/Y tế/Nhà thuốc/Khác
A060301|Kinh doanh & Các ngành nghề/Y tế/Bài thuốc đặc biệt/Yếu sinh lý
A060399|Kinh doanh & Các ngành nghề/Y tế/Bài thuốc đặc biệt/Khác
A060499|Kinh doanh & Các ngành nghề/Y tế/Dược phẩm/Thuốc/Khác
A060599|Kinh doanh & Các ngành nghề/Y tế/Thực phẩm bổ sung/Khác
A060699|Kinh doanh & Các ngành nghề/Y tế/Thiết bị y tế/Khác
A060799|Kinh doanh & Các ngành nghề/Y tế/Trung tâm/Thuốc cai nghiện/Khác
A069999|Kinh doanh & Các ngành nghề/Y tế/Khác/Khác
A070101|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Bảo hiểm/Bảo hiểm nhân thọ
A070102|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Bảo hiểm/Bảo hiểm sức khỏe
A070103|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Bảo hiểm/Bảo hiểm du lịch
A070104|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Bảo hiểm/Bảo hiểm xe cộ
A070199|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Bảo hiểm/Khác
A070299|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Cầm đồ/Khác
A070301|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Vay nợ/Vay thế chấp
A070302|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Vay nợ/Vay tín chấp/vay thấu chi
A070399|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Vay nợ/Khác
A070401|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Đầu tư/Bitcoin
A070499|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Đầu tư/Khác
A079999|Kinh doanh & Các ngành nghề/Tài chính cá nhân/Khác/Khác
A089999|Kinh doanh & Các ngành nghề/Bất động sản/Khác/Khác
A090199|Kinh doanh & Các ngành nghề/Dịch vụ và tư vấn/Dịch vụ di chuyển-vận chuyển/Khác
A090299|Kinh doanh & Các ngành nghề/Dịch vụ và tư vấn/Ví điện tử/Khác
A090399|Kinh doanh & Các ngành nghề/Dịch vụ và tư vấn/Kế toán & thuế/Khác
A090499|Kinh doanh & Các ngành nghề/Dịch vụ và tư vấn/Dịch vụ cải tạo nhà cửa/Khác
A090501|Kinh doanh & Các ngành nghề/Dịch vụ và tư vấn/Dịch vụ cho thuê xe/thuyền/Thuê xe
A090599|Kinh doanh & Các ngành nghề/Dịch vụ và tư vấn/Dịch vụ cho thuê xe/thuyền/Khác
A099999|Kinh doanh & Các ngành nghề/Dịch vụ và tư vấn/Khác/Khác
A100101|Kinh doanh & Các ngành nghề/Du lịch và khách sạn/Vé/Tàu hỏa & tàu thủy
A100102|Kinh doanh & Các ngành nghề/Du lịch và khách sạn/Vé/Xe khách
A100103|Kinh doanh & Các ngành nghề/Du lịch và khách sạn/Vé/Máy bay
A100199|Kinh doanh & Các ngành nghề/Du lịch và khách sạn/Vé/Khác
A100299|Kinh doanh & Các ngành nghề/Du lịch và khách sạn/Dịch vụ lưu trú/Khác
A100399|Kinh doanh & Các ngành nghề/Du lịch và khách sạn/Tour - lịch trình chuyến đi/Khác
A109999|Kinh doanh & Các ngành nghề/Du lịch và khách sạn/Khác/Khác
A110199|Kinh doanh & Các ngành nghề/Phương tiện/Ô tô/Khác
A110299|Kinh doanh & Các ngành nghề/Phương tiện/Xe tải/Khác
A110399|Kinh doanh & Các ngành nghề/Phương tiện/Xe máy/Khác
A110499|Kinh doanh & Các ngành nghề/Phương tiện/Phụ tùng/Khác
A119999|Kinh doanh & Các ngành nghề/Phương tiện/Khác/Khác
A120199|Kinh doanh & Các ngành nghề/Làm đẹp & chăm sóc cá nhân/Chăm sóc tóc/Khác
A120299|Kinh doanh & Các ngành nghề/Làm đẹp & chăm sóc cá nhân/Xăm và bấm khuyên/Khác
A120399|Kinh doanh & Các ngành nghề/Làm đẹp & chăm sóc cá nhân/Chăm sóc móng/Khác
A120499|Kinh doanh & Các ngành nghề/Làm đẹp & chăm sóc cá nhân/Dịch vụ mát-xa/Khác
